x,y,h,longitude,latitude
-67.18014178509507,205.1174542768197,0.6100000143051147,123.53696879,41.9399483
-66.66095734092114,205.1230015901596,0.5099999904632568,123.53697506,41.93994835
-66.09291822606838,205.1285489027111,0.38999998569488525,123.53698192,41.9399484
-65.57124966866907,205.131877290715,0.2800000011920929,123.53698822,41.93994843
-65.0462689405668,205.13409621605095,0.17000000178813934,123.53699456,41.93994845
-64.52128821279389,205.13631514059858,0.05000000074505806,123.5370009,41.93994847
-63.9938233687883,205.13631514059858,359.9200134277344,123.53700727,41.93994847
-63.417503844574924,205.13742460326657,359.79998779296875,123.53701423,41.93994848
-62.88755488491944,205.13520567793063,359.75,123.53702063,41.93994846
-62.3576058955949,205.13631514059858,359.75,123.53702703,41.93994847
-61.77880222649344,205.13853406593452,359.760009765625,123.53703402,41.93994849
